employee_ID,Role,Experience Years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score
fab56130-fefc-47d6-ae7e-13e0eaa984c1,Manager,18,7.5,7.1,36.5,0.4,Medium,13.5,11.4,3.8,8,3.3,1,10
7f63c041-738d-4b20-8c19-f36be39497d3,Designer,5,4.5,10.7,22.6,2.7,Low,1,3.2,0.97,7,6.1,9,4.19
2595a59e-4148-4ab2-a82e-7c325565ce2f,Analyst,7,7.4,28,25.7,2.1,Low,3.9,8,3.55,7,5.1,6.8,5.82
e6c4c2ef-14eb-484d-b887-c0cc956d49f6,Designer,19,3.9,16.5,18.3,3.2,Low,1.5,3.6,2.84,6,5,10,3.42
d5319e5f-ff7e-4395-9bf0-6bc0786b6fa0,Marketer,20,9.7,20.6,36.8,3.8,High,1,7.1,0.1,1,6,1.1,10
6b91a5c6-3f70-4f28-b4ff-049eb23bc51e,Manager,11,1.3,0.7,26.6,3.2,Medium,22.1,14.8,0.57,8,2.2,2,10
19c45c5b-04fd-4f42-aeb3-92ffc8b8daea,Designer,14,7.4,12.7,21.9,4.2,Medium,1,4.2,2.23,1,5.5,6.9,7.37
6eca084e-0078-4f6e-9305-59f9ebe4e7ee,Developer,10,15.9,34,12,3.6,High,6.4,6.9,0.19,9,3,4.4,10
c4190510-7264-482a-9977-e614f6a9d341,Developer,1,22.4,61.2,11.1,1.1,Low,10.1,12.4,5.32,4,4.2,5.1,7.07
a3e295af-fd6c-4564-96f5-cfdda7299400,Writer,14,11.9,25.8,16.4,0.4,Low,3.4,2.6,3.67,6,4.6,8.1,4.85
ab27df97-ea12-48a6-a627-8fab83753b56,Analyst,7,2.6,70.6,14.5,5.3,High,1.9,3.4,2.1,2,5.8,7,1.3
5c7151f1-c935-41e1-b936-9088a556fc7b,Developer,4,19.9,47.8,14.7,4.4,High,3.7,6.8,0.1,1,6.7,3.4,10
e7b49912-df5c-4dea-8ba8-643c3c91f9af,MArKEtEr,11,7.3,35,39.6,6.1,Medium,17.3,11.3,0.32,9,5.4,9.9,8.68
7a29f042-cfec-4667-a9a7-5ce4487a4aac,Writer,18,18.9,46.3,21.1,0.6,Low,3.7,7.1,0.1,9,5.4,5.1,7.07
25703f1d-6a2c-4714-be27-f4e9c37041dc,ANalYst,2,4,59.5,17.1,9,Medium,1.2,14.3,0.08,1,7.5,5.5,2.74
48a1665d-54a4-4962-88e7-70e0fd9b5305,WrITEr,11,6.4,26,37.9,2.3,Medium,13.9,2.6,0.91,10,2.1,2.2,9.9
78550a6a-767f-4c99-8d14-d4fd92a5d746,Developer,15,5.1,14.7,25.4,2.7,Low,6.2,5.9,1.13,3,5.8,6.8,5.8
21738ed0-68af-4e9e-9280-f4e6085ec0a0,Writer,12,6.4,11.4,26.7,0.4,Medium,3.4,9.5,4.66,7,7,5.4,8.49
8354ef15-4fee-457e-8103-76e493f38e4f,Analyst,1,15.2,44.3,18.1,5.7,Low,6.8,7.1,0.3,2,4.9,6,6.41
82ebd1f4-c3ee-4ed2-ba10-d2303a16e497,Writer,2,6.6,55.7,39.9,0.1,High,3.2,15.3,4.24,4,6.5,4.2,7.74
897f34a5-56ab-4afc-9f45-ef917a7f87cd,Developer,20,14.4,35.7,15.2,0.5,Medium,8.5,8.7,2.62,3,5.2,5,8.79
70c19269-ecd6-4e3c-814d-087c25b41b4a,Analyst,15,17.7,50.6,10,1.1,Low,2.8,8,0.1,8,7.1,8.4,4.63
cafc91f9-1953-4a4a-ba1f-ce5141d75f25,Marketer,8,5.5,8.6,37.5,0.9,Low,8.5,6.7,3.32,2,3.6,3.1,8.54
a3e48660-543e-4d75-8134-6daf862b4878,Developer,12,16.3,35.5,11.2,0.8,Low,4.4,7.7,0.4,3,6,8,4.91
ab4867f4-a894-4e74-a6cd-d86698b9000a,Writer,11,7.7,11.8,29.1,0.4,High,1,5.5,3.2,6,4.1,3.5,10
716d45d8-a863-4d76-8adc-1323a66ffa2b,Developer,12,15.8,37.6,13.1,0.1,Low,10.2,13.1,4.94,9,4.5,6.2,6.25
d308d94d-ad14-4f35-8a62-dff2b2fa6d62,Marketer,1,4.9,7.9,18.9,2.7,Medium,2.9,2.6,2,9,6.8,7.8,6.7
86877874-e049-442b-af5b-ddee16976f8c,Designer,8,2,7.8,37.6,4.2,Medium,7.5,9.5,2.81,5,3.6,2.7,10
ed2f4765-5052-4886-a9ac-fd89b71222ba,Developer,1,18.7,37.5,13.6,1.1,Low,2.5,6.1,5.76,1,5.6,7.3,5.44
