Employee Id,Role,Experience Years ,Ai Tool Usage Hours Per Week,Tasks Automated Percent,Manual Work Hours Per Week,Learning Time Hours Per Week,Deadline Pressure Level,Meeting Hours Per Week,Collaboration Hours Per Week,Error Rate Percent,Task Complexity Score,Focus Hours Per Day,Work Life Balance Score,Burnout Risk Score,Efficiency Leverage,Deep Work Balance,Learning Zone,Employee Health Personal,Sustainability Rating,Performance Sustainability Index,Burnout Level,Experience range,AI Leverage,Employee Persona,Future Risk,Risk Category Column
fab56130-fefc-47d6-ae7e-13e0eaa984c1,Manager,18,7.5,7.1,36.5,0.40,Medium,13.5,11.40,3.80,8.00,3.30,1.00,10.00,0.95,-8.40,Risk,Hardworking,0.44,9.47,High,16-20,Medium AI,Struggler,0.68,Stable
7f63c041-738d-4b20-8c19-f36be39497d3,Designer,5,4.5,10.7,22.6,2.70,Low,1.0,3.20,0.97,7.00,6.10,9.00,4.19,2.38,26.30,Stable,Developing,5.50,56.75,Low,4-8,Low AI,Steady Worker,5.39,Critical
2595a59e-4148-4ab2-a82e-7c325565ce2f,Analyst,7,7.4,28.0,25.7,2.10,Low,3.9,8.00,3.55,7.00,5.10,6.80,5.82,3.78,13.60,Stable,Developing,5.33,65.01,Moderate,4-8,Medium AI,Struggler,4.81,Critical
e6c4c2ef-14eb-484d-b887-c0cc956d49f6,Designer,19,3.9,16.5,18.3,3.20,Low,1.5,3.60,2.84,6.00,5.00,10.00,3.42,4.23,19.90,Stable,Developing,10.10,123.71,Low,16-20,Low AI,Steady Worker,6.67,Critical
d5319e5f-ff7e-4395-9bf0-6bc0786b6fa0,Marketer,20,9.7,20.6,36.8,3.80,High,1.0,7.10,0.10,1.00,6.00,1.10,10.00,2.12,21.90,Stable,Hardworking,2.04,21.24,High,16-20,Medium AI,Struggler,1.18,Stable
6b91a5c6-3f70-4f28-b4ff-049eb23bc51e,Manager,11,1.3,0.7,26.6,3.20,Medium,22.1,14.80,0.57,8.00,2.20,2.00,10.00,0.54,-25.90,Stable,Hardworking,0.07,5.38,High,8-12,Low AI,Struggler,0.82,Stable
19c45c5b-04fd-4f42-aeb3-92ffc8b8daea,Designer,14,7.4,12.7,21.9,4.20,Medium,1.0,4.20,2.23,1.00,5.50,6.90,7.37,1.72,22.30,Stable,Hardworking,1.82,23.29,Moderate,12-16,Medium AI,Steady Worker,3.55,Monitor
6eca084e-0078-4f6e-9305-59f9ebe4e7ee,Developer,10,15.9,34.0,12.0,3.60,High,6.4,6.90,0.19,9.00,3.00,4.40,10.00,2.14,1.70,Stable,Hardworking,3.34,21.38,High,8-12,High AI,Struggler,2.18,Stable
c4190510-7264-482a-9977-e614f6a9d341,Developer,1,22.4,61.2,11.1,1.10,Low,10.1,12.40,5.32,4.00,4.20,5.10,7.07,2.73,-1.50,Risk,Risky,5.73,38.64,Moderate,0-4,High AI,Toxic High Performer,3.50,Monitor
a3e295af-fd6c-4564-96f5-cfdda7299400,Writer,14,11.9,25.8,16.4,0.40,Low,3.4,2.60,3.67,6.00,4.60,8.10,4.85,2.17,17.00,Risk,Developing,6.94,44.70,Low,12-16,Medium AI,Struggler,4.84,Critical
ab27df97-ea12-48a6-a627-8fab83753b56,Analyst,7,2.6,70.6,14.5,5.30,High,1.9,3.40,2.10,2.00,5.80,7.00,1.30,27.15,23.70,Growth,Risky,330.02,"2,088.76",Low,4-8,Low AI,Star Performer,15.57,Critical
5c7151f1-c935-41e1-b936-9088a556fc7b,Developer,4,19.9,47.8,14.7,4.40,High,3.7,6.80,0.10,1.00,6.70,3.40,10.00,2.40,23.00,Stable,Efficient,4.73,24.02,High,0-4,High AI,Toxic High Performer,1.98,Stable
e7b49912-df5c-4dea-8ba8-643c3c91f9af,Marketer,11,7.3,35.0,39.6,6.10,Medium,17.3,11.30,0.32,9.00,5.40,9.90,8.68,4.79,-1.60,Growth,Hardworking,4.50,55.24,High,8-12,Medium AI,Struggler,5.28,Critical
7a29f042-cfec-4667-a9a7-5ce4487a4aac,Writer,18,18.9,46.3,21.1,0.60,Low,3.7,7.10,0.10,9.00,5.40,5.10,7.07,2.45,16.20,Risk,Efficient,9.17,34.65,Moderate,16-20,High AI,Star Performer,3.39,Monitor
25703f1d-6a2c-4714-be27-f4e9c37041dc,Analyst,2,4.0,59.5,17.1,9.00,Medium,1.2,14.30,0.08,1.00,7.50,5.50,2.74,14.88,22.00,Growth,Efficient,78.62,542.88,Low,0-4,Low AI,Star Performer,9.78,Critical
48a1665d-54a4-4962-88e7-70e0fd9b5305,Writer,11,6.4,26.0,37.9,2.30,Medium,13.9,2.60,0.91,10.00,2.10,2.20,9.90,4.06,-6.00,Stable,Hardworking,2.41,41.04,High,8-12,Medium AI,Struggler,2.32,Stable
