,,,,,,,,
"Question - 1: Everyone is talking about AI, but who is actually using it effectively? Are employees just spending time on AI tools (Usage), or are they actually reducing their workload (Automation)?",,,,,,,,
,,,,,,,,
,AI Adoption & Automation by Role,,,,,,,
,,,,,,,,
Role,AVERAGE of AI Tool Usage Hours Per Week,AVERAGE of Tasks Automated Percent,,Role,COUNTA of Employee Id,AVERAGE of Ai Tool Usage Hours Per Week,AVERAGE of Efficiency Leverage,AVERAGE of Burnout Risk Score
Analyst,10.4,27.1,,Analyst,1053,10.4,3.40,7.83
Designer,6.5,19.2,,Designer,908,6.5,5.27,7.46
Developer,14.9,38.4,,Developer,1294,14.9,3.74,8.01
Manager,6.5,18.7,,Manager,829,6.5,4.99,8.24
Marketer,10.4,28.7,,Marketer,841,10.4,3.80,7.67
Others,13.7,38.9,,Others,33,13.7,9.85,5.18
Writer,14.3,38.6,,Writer,642,14.3,4.56,7.50
,,,,Grand Total,5600,10.7,4.25,7.79
,,,,,,,,
,AI Leverage Impact on Quality,,,,,,,
,Does higher AI usage reduce or increase errors?,,,,,,,
AI Leverage,AVERAGE of Error Rate Percent,,,,,,,
High AI,2.42,,,,,,,
Low AI,1.90,,,,,,,
Medium AI,2.08,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Workforce Composition,,,,,,,
,A quick look at how your headcount is distributed across departments?,,,,,,,
Role,COUNTA of Employee Id,,,,,,,
Analyst,18.80%,,,,,,,
Designer,16.21%,,,,,,,
Developer,23.11%,,,,,,,
Manager,14.80%,,,,,,,
Marketer,15.02%,,,,,,,
Others,0.59%,,,,,,,
Writer,11.46%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Performance vs. Health,,,,,,,
,To spot high performers who are at risk of quitting (Burnout) ?,,,,,,,
Employee Persona,AVERAGE of Efficiency Leverage,AVERAGE of Burnout Risk Score,,,,,,
Star Performer,8.18,5.43,,,,,,
Steady Worker,3.15,5.80,,,,,,
Struggler,2.78,8.87,,,,,,
Toxic High Performer,6.52,8.35,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Resource Consumption,,,,,,,
, To see which role is consuming the majority of your AI budget/resources ?,,,,,,,
Role,AVERAGE of Ai Tool Usage Hours Per Week,,,,,,,
Analyst,96.79%,,,,,,,
Designer,61.01%,,,,,,,
Developer,139.67%,,,,,,,
Manager,60.37%,,,,,,,
Marketer,97.09%,,,,,,,
Others,127.83%,,,,,,,
Writer,133.99%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Burnout Risk by Role,,,,,,,
,Which roles experience highest burnout?,,,,,,,
Role,AVERAGE of Burnout Risk Score,,,,,,,
Analyst,7.83,,,,,,,
Designer,7.46,,,,,,,
Developer,8.01,,,,,,,
Manager,8.24,,,,,,,
Marketer,7.67,,,,,,,
Others,5.18,,,,,,,
Writer,7.50,,,,,,,
,,,,,,,,
,,,,,,,,
,Top AI-Optimized Roles,,,,,,,
Role,AVERAGE of Tasks Automated Percent,AVERAGE of Error Rate Percent,,,,,,
Analyst,27.1,2.16,,,,,,
Designer,19.2,2.01,,,,,,
Developer,38.4,2.34,,,,,,
Manager,18.7,1.96,,,,,,
Marketer,28.7,2.21,,,,,,
Others,38.9,2.72,,,,,,
Writer,38.6,2.33,,,,,,
,,,,,,,,
,,,,,,,,
,AI Adoption vs. Manual Grunt Work,,,,,,,
,To see which teams are using AI to reduce manual work and which are not,,,,,,,
Role,AVERAGE of Ai Tool Usage Hours Per Week,AVERAGE of Manual Work Hours Per Week,,,,,,
Analyst,10.4,23.2,,,,,,
Designer,6.5,25.6,,,,,,
Developer,14.9,19.6,,,,,,
Manager,6.5,26.0,,,,,,
Marketer,10.4,22.9,,,,,,
Others,13.7,25.2,,,,,,
Writer,14.3,20.7,,,,,,
,,,,,,,,
Experience Learning Curve,To track how error rates drop as experience increases ?,,,,,,,
,,,,,,,,
Experience range,AVERAGE of Error Rate Percent,,,,,,,
0-4,2.40,,,,,,,
12-16,2.02,,,,,,,
16-20,1.91,,,,,,,
4-8,2.36,,,,,,,
8-12,2.19,,,,,,,
,,,,,,,,
,,,,,,,,
Daily Routine," To visualize the ""shape"" of a workday for each role",,,,,,,
,,,,,,,,
Role,AVERAGE of Meeting Hours Per Week,AVERAGE of Focus Hours Per Day,AVERAGE of Learning Time Hours Per Week,,,,,
Analyst,6.0,4.90,2.41,,,,,
Designer,6.1,4.89,2.68,,,,,
Developer,5.9,4.87,2.43,,,,,
Manager,13.8,3.34,2.68,,,,,
Marketer,6.3,4.79,2.66,,,,,
Others,12.5,4.31,4.15,,,,,
Writer,6.7,4.90,2.84,,,,,
